#Layer Chip Chan I J K
2 136 13 4 23 2
2 136 14 4 22 2
2 136 15 4 21 2
2 136 16 4 20 2
2 136 17 4 19 2
2 136 18 3 36 2
2 136 19 3 35 2
2 136 20 3 34 2
2 136 21 3 33 2
2 136 22 3 32 2
2 136 23 3 31 2
2 136 24 3 30 2
2 136 25 3 29 2
2 136 26 3 28 2
2 136 27 3 27 2
2 136 28 3 26 2
2 136 29 3 25 2
2 136 30 3 24 2
2 136 31 3 23 2
2 136 32 3 22 2
2 136 33 3 21 2
2 136 34 3 20 2
2 136 35 3 19 2
3 137 0 26 4 3
3 137 1 25 4 3
3 137 2 24 4 3
3 137 3 23 4 3
3 137 4 22 4 3
3 137 5 21 4 3
3 137 6 20 4 3
3 137 7 19 4 3
3 137 8 27 4 3
3 137 9 28 4 3
3 137 10 29 4 3
3 137 11 30 4 3
3 137 12 31 4 3
3 137 13 32 4 3
3 137 14 33 4 3
3 137 15 34 4 3
3 137 16 35 4 3
3 137 17 36 4 3
3 137 18 36 3 3
3 137 19 35 3 3
3 137 20 34 3 3
3 137 21 33 3 3
3 137 22 32 3 3
3 137 23 31 3 3
3 137 24 30 3 3
3 137 25 29 3 3
3 137 26 28 3 3
3 137 27 27 3 3
3 137 28 19 3 3
3 137 29 20 3 3
3 137 30 21 3 3
3 137 31 22 3 3
3 137 32 23 3 3
3 137 33 24 3 3
3 137 34 25 3 3
3 137 35 26 3 3
3 138 0 11 3 3
3 138 1 12 3 3
3 138 2 13 3 3
3 138 3 14 3 3
3 138 4 15 3 3
3 138 5 16 3 3
3 138 6 17 3 3
3 138 7 18 3 3
3 138 8 10 3 3
3 138 9 9 3 3
3 138 10 8 3 3
3 138 11 7 3 3
3 138 12 6 3 3
3 138 13 5 3 3
3 138 14 4 3 3
3 138 15 3 3 3
3 138 16 2 3 3
3 138 17 1 3 3
3 138 18 1 4 3
3 138 19 2 4 3
3 138 20 3 4 3
3 138 21 4 4 3
3 138 22 5 4 3
3 138 23 6 4 3
3 138 24 7 4 3
3 138 25 8 4 3
3 138 26 9 4 3
3 138 27 10 4 3
3 138 28 18 4 3
3 138 29 17 4 3
3 138 30 16 4 3
3 138 31 15 4 3
3 138 32 14 4 3
3 138 33 13 4 3
3 138 34 12 4 3
3 138 35 11 4 3
3 139 0 11 1 3
3 139 1 12 1 3
3 139 2 13 1 3
3 139 3 14 1 3
3 139 4 15 1 3
3 139 5 16 1 3
3 139 6 17 1 3
3 139 7 18 1 3
3 139 8 10 1 3
3 139 9 9 1 3
3 139 10 8 1 3
3 139 11 7 1 3
3 139 12 6 1 3
3 139 13 5 1 3
3 139 14 4 1 3
3 139 15 3 1 3
3 139 16 2 1 3
3 139 17 1 1 3
3 139 18 1 2 3
3 139 19 2 2 3
3 139 20 3 2 3
3 139 21 4 2 3
3 139 22 5 2 3
3 139 23 6 2 3
3 139 24 7 2 3
3 139 25 8 2 3
3 139 26 9 2 3
3 139 27 10 2 3
3 139 28 18 2 3
3 139 29 17 2 3
3 139 30 16 2 3
3 139 31 15 2 3
3 139 32 14 2 3
3 139 33 13 2 3
3 139 34 12 2 3
3 139 35 11 2 3
3 140 0 26 2 3
3 140 1 25 2 3
3 140 2 24 2 3
3 140 3 23 2 3
