#Layer Chip Chan I J K
2 140 13 2 5 2
2 140 14 2 4 2
2 140 15 2 3 2
2 140 16 2 2 2
2 140 17 2 1 2
2 140 18 1 1 2
2 140 19 1 2 2
2 140 20 1 3 2
2 140 21 1 4 2
2 140 22 1 5 2
2 140 23 1 6 2
2 140 24 1 7 2
2 140 25 1 8 2
2 140 26 1 9 2
2 140 27 1 10 2
2 140 28 1 18 2
2 140 29 1 17 2
2 140 30 1 16 2
2 140 31 1 15 2
2 140 32 1 14 2
2 140 33 1 13 2
2 140 34 1 12 2
2 140 35 1 11 2
3 233 0 12 13 3
3 233 1 12 14 3
3 233 2 12 15 3
3 233 3 12 16 3
3 233 4 12 17 3
3 233 5 12 18 3
3 233 6 11 13 3
3 233 7 11 14 3
3 233 8 11 15 3
3 233 9 11 16 3
3 233 10 11 17 3
3 233 11 11 18 3
3 233 12 10 13 3
3 233 13 10 14 3
3 233 14 10 15 3
3 233 15 10 16 3
3 233 16 10 17 3
3 233 17 10 18 3
3 233 18 9 13 3
3 233 19 9 14 3
3 233 20 9 15 3
3 233 21 9 16 3
3 233 22 9 17 3
3 233 23 9 18 3
3 233 24 8 13 3
3 233 25 8 14 3
3 233 26 8 15 3
3 233 27 8 16 3
3 233 28 8 17 3
3 233 29 8 18 3
3 233 30 7 13 3
3 233 31 7 14 3
3 233 32 7 15 3
3 233 33 7 16 3
3 233 34 7 17 3
3 233 35 7 18 3
3 234 0 12 7 3
3 234 1 12 8 3
3 234 2 12 9 3
3 234 3 12 10 3
3 234 4 12 11 3
3 234 5 12 12 3
3 234 6 11 7 3
3 234 7 11 8 3
3 234 8 11 9 3
3 234 9 11 10 3
3 234 10 11 11 3
3 234 11 11 12 3
3 234 12 10 7 3
3 234 13 10 8 3
3 234 14 10 9 3
3 234 15 10 10 3
3 234 16 10 11 3
3 234 17 10 12 3
3 234 18 9 7 3
3 234 19 9 8 3
3 234 20 9 9 3
3 234 21 9 10 3
3 234 22 9 11 3
3 234 23 9 12 3
3 234 24 8 7 3
3 234 25 8 8 3
3 234 26 8 9 3
3 234 27 8 10 3
3 234 28 8 11 3
3 234 29 8 12 3
3 234 30 7 7 3
3 234 31 7 8 3
3 234 32 7 9 3
3 234 33 7 10 3
3 234 34 7 11 3
3 234 35 7 12 3
3 235 0 18 18 3
3 235 1 18 17 3
3 235 2 18 16 3
3 235 3 18 15 3
3 235 4 18 14 3
3 235 5 18 13 3
3 235 6 17 18 3
3 235 7 17 17 3
3 235 8 17 16 3
3 235 9 17 15 3
3 235 10 17 14 3
3 235 11 17 13 3
3 235 12 16 18 3
3 235 13 16 17 3
3 235 14 16 16 3
3 235 15 16 15 3
3 235 16 16 14 3
3 235 17 16 13 3
3 235 18 15 18 3
3 235 19 15 17 3
3 235 20 15 16 3
3 235 21 15 15 3
3 235 22 15 14 3
3 235 23 15 13 3
3 235 24 14 18 3
3 235 25 14 17 3
3 235 26 14 16 3
3 235 27 14 15 3
3 235 28 14 14 3
3 235 29 14 13 3
3 235 30 13 18 3
3 235 31 13 17 3
3 235 32 13 16 3
3 235 33 13 15 3
3 235 34 13 14 3
3 235 35 13 13 3
3 236 0 18 12 3
3 236 1 18 11 3
3 236 2 18 10 3
3 236 3 18 9 3
3 236 4 18 8 3
3 236 5 18 7 3
3 236 6 17 12 3
3 236 7 17 11 3
3 236 8 17 10 3
3 236 9 17 9 3
3 236 10 17 8 3
3 236 11 17 7 3
3 236 12 16 12 3
3 236 13 16 11 3
3 236 14 16 10 3
3 236 15 16 9 3
3 236 16 16 8 3
3 236 17 16 7 3
3 236 18 15 12 3
3 236 19 15 11 3
3 236 20 15 10 3
3 236 21 15 9 3
3 236 22 15 8 3
3 236 23 15 7 3
3 236 24 14 12 3
3 236 25 14 11 3
3 236 26 14 10 3
3 236 27 14 9 3
3 236 28 14 8 3
3 236 29 14 7 3
3 236 30 13 12 3
3 236 31 13 11 3
3 236 32 13 10 3
3 236 33 13 9 3
3 236 34 13 8 3
3 236 35 13 7 3
4 165 0 12 13 4
4 165 1 12 14 4
4 165 2 12 15 4
4 165 3 12 16 4
4 165 4 12 17 4
4 165 5 12 18 4
4 165 6 11 13 4
4 165 7 11 14 4
4 165 8 11 15 4
4 165 9 11 16 4
4 165 10 11 17 4
4 165 11 11 18 4
4 165 12 10 13 4
4 165 13 10 14 4
4 165 14 10 15 4
4 165 15 10 16 4
4 165 16 10 17 4
4 165 17 10 18 4
4 165 18 9 13 4
4 165 19 9 14 4
4 165 20 9 15 4
4 165 21 9 16 4
4 165 22 9 17 4
4 165 23 9 18 4
4 165 24 8 13 4
4 165 25 8 14 4
4 165 26 8 15 4
4 165 27 8 16 4
4 165 28 8 17 4
4 165 29 8 18 4
4 165 30 7 13 4
4 165 31 7 14 4
4 165 32 7 15 4
4 165 33 7 16 4
4 165 34 7 17 4
4 165 35 7 18 4
4 166 0 12 7 4
4 166 1 12 8 4
4 166 2 12 9 4
4 166 3 12 10 4
4 166 4 12 11 4
4 166 5 12 12 4
4 166 6 11 7 4
4 166 7 11 8 4
4 166 8 11 9 4
4 166 9 11 10 4
4 166 10 11 11 4
4 166 11 11 12 4
4 166 12 10 7 4
4 166 13 10 8 4
4 166 14 10 9 4
4 166 15 10 10 4
4 166 16 10 11 4
4 166 17 10 12 4
4 166 18 9 7 4
4 166 19 9 8 4
4 166 20 9 9 4
4 166 21 9 10 4
4 166 22 9 11 4
4 166 23 9 12 4
4 166 24 8 7 4
4 166 25 8 8 4
4 166 26 8 9 4
4 166 27 8 10 4
4 166 28 8 11 4
4 166 29 8 12 4
4 166 30 7 7 4
4 166 31 7 8 4
4 166 32 7 9 4
4 166 33 7 10 4
4 166 34 7 11 4
4 166 35 7 12 4
4 167 0 18 18 4
4 167 1 18 17 4
4 167 2 18 16 4
4 167 3 18 15 4
4 167 4 18 14 4
4 167 5 18 13 4
4 167 6 17 18 4
4 167 7 17 17 4
4 167 8 17 16 4
4 167 9 17 15 4
4 167 10 17 14 4
4 167 11 17 13 4
4 167 12 16 18 4
4 167 13 16 17 4
4 167 14 16 16 4
4 167 15 16 15 4
4 167 16 16 14 4
4 167 17 16 13 4
4 167 18 15 18 4
4 167 19 15 17 4
4 167 20 15 16 4
4 167 21 15 15 4
4 167 22 15 14 4
4 167 23 15 13 4
4 167 24 14 18 4
4 167 25 14 17 4
4 167 26 14 16 4
4 167 27 14 15 4
4 167 28 14 14 4
4 167 29 14 13 4
4 167 30 13 18 4
4 167 31 13 17 4
4 167 32 13 16 4
4 167 33 13 15 4
4 167 34 13 14 4
4 167 35 13 13 4
4 168 0 18 12 4
4 168 1 18 11 4
4 168 2 18 10 4
4 168 3 18 9 4
4 168 4 18 8 4
4 168 5 18 7 4
4 168 6 17 12 4
4 168 7 17 11 4
4 168 8 17 10 4
4 168 9 17 9 4
4 168 10 17 8 4
4 168 11 17 7 4
4 168 12 16 12 4
4 168 13 16 11 4
4 168 14 16 10 4
4 168 15 16 9 4
4 168 16 16 8 4
4 168 17 16 7 4
4 168 18 15 12 4
4 168 19 15 11 4
4 168 20 15 10 4
4 168 21 15 9 4
4 168 22 15 8 4
4 168 23 15 7 4
4 168 24 14 12 4
4 168 25 14 11 4
4 168 26 14 10 4
4 168 27 14 9 4
4 168 28 14 8 4
4 168 29 14 7 4
4 168 30 13 12 4
4 168 31 13 11 4
4 168 32 13 10 4
4 168 33 13 9 4
4 168 34 13 8 4
4 168 35 13 7 4
5 161 0 12 13 5
5 161 1 12 14 5
5 161 2 12 15 5
5 161 3 12 16 5
5 161 4 12 17 5
5 161 5 12 18 5
5 161 6 11 13 5
5 161 7 11 14 5
5 161 8 11 15 5
5 161 9 11 16 5
5 161 10 11 17 5
5 161 11 11 18 5
5 161 12 10 13 5
5 161 13 10 14 5
5 161 14 10 15 5
5 161 15 10 16 5
5 161 16 10 17 5
5 161 17 10 18 5
5 161 18 9 13 5
5 161 19 9 14 5
5 161 20 9 15 5
5 161 21 9 16 5
5 161 22 9 17 5
5 161 23 9 18 5
5 161 24 8 13 5
5 161 25 8 14 5
5 161 26 8 15 5
5 161 27 8 16 5
5 161 28 8 17 5
5 161 29 8 18 5
5 161 30 7 13 5
5 161 31 7 14 5
5 161 32 7 15 5
5 161 33 7 16 5
5 161 34 7 17 5
5 161 35 7 18 5
5 162 0 12 7 5
5 162 1 12 8 5
5 162 2 12 9 5
5 162 3 12 10 5
5 162 4 12 11 5
5 162 5 12 12 5
5 162 6 11 7 5
5 162 7 11 8 5
5 162 8 11 9 5
5 162 9 11 10 5
5 162 10 11 11 5
5 162 11 11 12 5
5 162 12 10 7 5
5 162 13 10 8 5
5 162 14 10 9 5
5 162 15 10 10 5
5 162 16 10 11 5
5 162 17 10 12 5
5 162 18 9 7 5
5 162 19 9 8 5
5 162 20 9 9 5
5 162 21 9 10 5
5 162 22 9 11 5
5 162 23 9 12 5
5 162 24 8 7 5
5 162 25 8 8 5
5 162 26 8 9 5
5 162 27 8 10 5
5 162 28 8 11 5
5 162 29 8 12 5
5 162 30 7 7 5
5 162 31 7 8 5
5 162 32 7 9 5
5 162 33 7 10 5
5 162 34 7 11 5
5 162 35 7 12 5
5 163 0 18 18 5
5 163 1 18 17 5
5 163 2 18 16 5
5 163 3 18 15 5
5 163 4 18 14 5
5 163 5 18 13 5
5 163 6 17 18 5
5 163 7 17 17 5
5 163 8 17 16 5
5 163 9 17 15 5
5 163 10 17 14 5
5 163 11 17 13 5
5 163 12 16 18 5
5 163 13 16 17 5
5 163 14 16 16 5
5 163 15 16 15 5
5 163 16 16 14 5
5 163 17 16 13 5
5 163 18 15 18 5
5 163 19 15 17 5
5 163 20 15 16 5
5 163 21 15 15 5
5 163 22 15 14 5
5 163 23 15 13 5
5 163 24 14 18 5
5 163 25 14 17 5
5 163 26 14 16 5
5 163 27 14 15 5
5 163 28 14 14 5
5 163 29 14 13 5
5 163 30 13 18 5
5 163 31 13 17 5
5 163 32 13 16 5
5 163 33 13 15 5
5 163 34 13 14 5
5 163 35 13 13 5
5 164 0 18 12 5
5 164 1 18 11 5
5 164 2 18 10 5
5 164 3 18 9 5
5 164 4 18 8 5
5 164 5 18 7 5
5 164 6 17 12 5
5 164 7 17 11 5
5 164 8 17 10 5
5 164 9 17 9 5
5 164 10 17 8 5
5 164 11 17 7 5
5 164 12 16 12 5
5 164 13 16 11 5
5 164 14 16 10 5
5 164 15 16 9 5
5 164 16 16 8 5
5 164 17 16 7 5
5 164 18 15 12 5
5 164 19 15 11 5
5 164 20 15 10 5
5 164 21 15 9 5
5 164 22 15 8 5
5 164 23 15 7 5
5 164 24 14 12 5
5 164 25 14 11 5
5 164 26 14 10 5
5 164 27 14 9 5
5 164 28 14 8 5
5 164 29 14 7 5
5 164 30 13 12 5
5 164 31 13 11 5
5 164 32 13 10 5
5 164 33 13 9 5
5 164 34 13 8 5
5 164 35 13 7 5
6 157 0 12 13 6
6 157 1 12 14 6
6 157 2 12 15 6
6 157 3 12 16 6
6 157 4 12 17 6
6 157 5 12 18 6
6 157 6 11 13 6
6 157 7 11 14 6
6 157 8 11 15 6
6 157 9 11 16 6
6 157 10 11 17 6
6 157 11 11 18 6
6 157 12 10 13 6
6 157 13 10 14 6
6 157 14 10 15 6
6 157 15 10 16 6
6 157 16 10 17 6
6 157 17 10 18 6
6 157 18 9 13 6
6 157 19 9 14 6
