#Layer Chip Chan I J K
2 232 13 9 11 2
2 232 14 9 10 2
2 232 15 9 9 2
2 232 16 9 8 2
2 232 17 9 7 2
2 232 18 10 12 2
2 232 19 10 11 2
2 232 20 10 10 2
2 232 21 10 9 2
2 232 22 10 8 2
2 232 23 10 7 2
2 232 24 11 12 2
2 232 25 11 11 2
2 232 26 11 10 2
2 232 27 11 9 2
2 232 28 11 8 2
2 232 29 11 7 2
2 232 30 12 12 2
2 232 31 12 11 2
2 232 32 12 10 2
2 232 33 12 9 2
2 232 34 12 8 2
2 232 35 12 7 2
3 237 0 13 13 3
3 237 1 13 14 3
3 237 2 13 15 3
3 237 3 13 16 3
3 237 4 13 17 3
3 237 5 13 18 3
3 237 6 14 13 3
3 237 7 14 14 3
3 237 8 14 15 3
3 237 9 14 16 3
3 237 10 14 17 3
3 237 11 14 18 3
3 237 12 15 13 3
3 237 13 15 14 3
3 237 14 15 15 3
3 237 15 15 16 3
3 237 16 15 17 3
3 237 17 15 18 3
3 237 18 16 13 3
3 237 19 16 14 3
3 237 20 16 15 3
3 237 21 16 16 3
3 237 22 16 17 3
3 237 23 16 18 3
3 237 24 17 13 3
3 237 25 17 14 3
3 237 26 17 15 3
3 237 27 17 16 3
3 237 28 17 17 3
3 237 29 17 18 3
3 237 30 18 13 3
3 237 31 18 14 3
3 237 32 18 15 3
3 237 33 18 16 3
3 237 34 18 17 3
3 237 35 18 18 3
3 238 0 13 7 3
3 238 1 13 8 3
3 238 2 13 9 3
3 238 3 13 10 3
3 238 4 13 11 3
3 238 5 13 12 3
3 238 6 14 7 3
3 238 7 14 8 3
3 238 8 14 9 3
3 238 9 14 10 3
3 238 10 14 11 3
3 238 11 14 12 3
3 238 12 15 7 3
3 238 13 15 8 3
3 238 14 15 9 3
3 238 15 15 10 3
3 238 16 15 11 3
3 238 17 15 12 3
3 238 18 16 7 3
3 238 19 16 8 3
3 238 20 16 9 3
3 238 21 16 10 3
3 238 22 16 11 3
3 238 23 16 12 3
3 238 24 17 7 3
3 238 25 17 8 3
3 238 26 17 9 3
3 238 27 17 10 3
3 238 28 17 11 3
3 238 29 17 12 3
3 238 30 18 7 3
3 238 31 18 8 3
3 238 32 18 9 3
3 238 33 18 10 3
3 238 34 18 11 3
3 238 35 18 12 3
3 239 0 7 18 3
3 239 1 7 17 3
3 239 2 7 16 3
3 239 3 7 15 3
